region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
ICR,2013,4,scaled,50,top_N,0.905241935483871,0.9042245161654524,0.895417656646005,50
ICR,2016,4,scaled,50,top_N,0.9304703476482618,0.928873138459327,0.924146080945919,50
ICR,2019,4,scaled,50,top_N,0.9193548387096774,0.9186528268982004,0.9171126507214704,50
ICR,2022,4,scaled,50,top_N,0.902335456475584,0.9008886934910708,0.8916076755550952,50
HIM,1995,4,scaled,50,top_N,0.8829268292682927,0.8796977766758113,0.8670351021874645,60
HIM,1998,4,scaled,50,top_N,0.9326347305389222,0.9319521482553724,0.9237606292474764,60
HIM,2001,4,scaled,50,top_N,0.9221183800623052,0.9220904649911036,0.917227308567118,60
HIM,2004,4,scaled,50,top_N,0.9496062992125984,0.9486748496560654,0.9211036517929196,60
HIM,2007,4,scaled,50,top_N,0.9337442218798152,0.9326898553587772,0.9269618821177332,60
HIM,2010,4,scaled,50,top_N,0.9370199692780338,0.9367135193426194,0.9301338986229878,60
HIM,2013,4,scaled,50,top_N,0.9131782945736434,0.9126187380132776,0.9216744969850004,60
HIM,2016,4,scaled,50,top_N,0.9066091954022988,0.906257315354428,0.9052441018817454,60
HIM,2019,4,scaled,50,top_N,0.9075500770416024,0.9061063387113772,0.8987808734028957,60
HIM,2022,4,scaled,50,top_N,0.9004815409309791,0.898949468752058,0.8889224862639922,60
IGP,1995,5,scaled,50,top_N,0.9183135704874836,0.914965779626736,0.8724055054004937,60
IGP,1998,5,scaled,50,top_N,0.938961038961039,0.9369432131305458,0.9186564845803112,60
IGP,2001,5,scaled,50,top_N,0.925,0.916058128861968,0.8863091921760128,60
IGP,2004,5,scaled,50,top_N,0.9363143631436316,0.9316045597016818,0.8824757679572931,60
IGP,2007,5,scaled,50,top_N,0.949238578680203,0.9467929354696972,0.9150929500410828,60
IGP,2010,5,scaled,50,top_N,0.9549295774647888,0.953766607198586,0.937387104954835,60
IGP,2013,5,scaled,50,top_N,0.9484808454425364,0.9470603013377566,0.9150510170002932,60
IGP,2016,5,scaled,50,top_N,0.9474358974358974,0.9459425606834588,0.9230492669000734,60
IGP,2019,5,scaled,50,top_N,0.9529860228716646,0.9521539041953218,0.93601602055225,60
IGP,2022,5,scaled,50,top_N,0.9557291666666666,0.9553911659760044,0.9339489251860156,60
DES,1995,7,scaled,50,top_N,0.9146692233940557,0.9151139258270472,0.9232944499447846,60
DES,1998,7,scaled,50,top_N,0.9429115128449096,0.9426762299185942,0.9510050274738135,60
DES,2001,7,scaled,50,top_N,0.9309090909090908,0.9302411467820744,0.9213098630793284,60
DES,2004,7,scaled,50,top_N,0.9371482176360224,0.9372244269930368,0.9438302660308762,60
DES,2007,7,scaled,50,top_N,0.925751879699248,0.9256028057294424,0.9240349399277814,60
DES,2010,7,scaled,50,top_N,0.937381404174573,0.937871551257896,0.9422860590865564,60
DES,2013,7,scaled,50,top_N,0.9279700654817586,0.9269668936130656,0.932803159957891,60
DES,2016,7,scaled,50,top_N,0.9435559736594544,0.9433923768771,0.9485468916699796,60
DES,2019,7,scaled,50,top_N,0.933467741935484,0.9326891323688912,0.9472107252512978,60
DES,2022,7,scaled,50,top_N,0.9465930018416208,0.9463933206493528,0.941327565362704,60
PEN,1995,5,scaled,50,top_N,0.85814696485623,0.846839026331801,0.7731420102505691,60
PEN,1998,5,scaled,50,top_N,0.8646947765890497,0.8495060209335304,0.756311415827792,60
PEN,2001,5,scaled,50,top_N,0.882051282051282,0.8713811040541912,0.7951195204184428,60
PEN,2004,5,scaled,50,top_N,0.8710526315789474,0.8567373606794562,0.7694627125889948,60
PEN,2007,5,scaled,50,top_N,0.8656618610747051,0.8518593514060542,0.774955843087786,60
PEN,2010,5,scaled,50,top_N,0.8584415584415584,0.8508168688866863,0.8042171554771285,60
PEN,2013,5,scaled,50,top_N,0.8724919093851132,0.8642017441387112,0.8123198465472685,60
PEN,2016,5,scaled,50,top_N,0.8965952080706179,0.890307286782196,0.8285011257373189,60
PEN,2019,5,scaled,50,top_N,0.8874296435272045,0.8857439468544539,0.8421777930162395,60
PEN,2022,5,scaled,50,top_N,0.8916194076874606,0.8891886301637619,0.8648363909126943,60
NEI,1995,5,scaled,50,top_N,0.8589285714285714,0.8551619256150396,0.7990144111446575,60
NEI,1998,5,scaled,50,top_N,0.8715953307392996,0.8662540714820708,0.8076683390232651,60
NEI,2001,5,scaled,50,top_N,0.8641304347826086,0.8620222615462634,0.7903549506339146,60
NEI,2004,5,scaled,50,top_N,0.9047619047619048,0.902037705126326,0.8557302288334808,60
NEI,2007,5,scaled,50,top_N,0.8954918032786885,0.8963706838580833,0.860092937713259,60
NEI,2010,5,scaled,50,top_N,0.9095840867992768,0.9061626802277094,0.8713362354153456,60
NEI,2013,5,scaled,50,top_N,0.8768656716417911,0.875314780805278,0.8437402210758613,60
NEI,2016,5,scaled,50,top_N,0.8986013986013986,0.8963539975114027,0.8551016542826613,60
NEI,2019,5,scaled,50,top_N,0.9071428571428573,0.905820529956411,0.8823412329146509,60
