,band,importance,year
126,green_median_texture,1.148321006183513,2005
127,red_median_wet,1.1314607918042887,2005
128,blue_min,1.1149496937527812,2005
129,red_median_dry,1.1027786741054004,2005
130,nir_stdDev,1.0928352126995544,2005
131,swir1_min,1.0923316431738024,2005
132,gcvi_median,1.0741634568969485,2005
133,swir1_median_dry,1.072889835034905,2005
134,ndwi_median_dry,1.0720385306638889,2005
135,blue_median_wet,1.0703180492304325,2005
136,red_stdDev,1.0684363305501865,2005
137,green_stdDev,1.0562554971831581,2005
138,ndvi_median_dry,1.0544759323632513,2005
139,blue_stdDev,1.0484817939795485,2005
140,evi2_median_dry,1.044341866866799,2005
141,red_median,1.0354580712731383,2005
142,savi_median,1.0334285051051693,2005
143,ndvi_median_wet,1.0328370272260738,2005
144,savi_median_wet,1.0326517711787149,2005
145,ndvi_amp,1.0215327560118403,2005
146,ndwi_median_wet,1.0181363910626922,2005
147,green_median_wet,1.0141025659922942,2005
148,swir2_min,1.0124561181411071,2005
149,blue_median_dry,1.0084114131410984,2005
150,ndwi_stdDev,0.9983134834359882,2005
151,gcvi_median_dry,0.997835057347327,2005
152,ndvi_median,0.9965209437498823,2005
153,ndvi_stdDev,0.9874431478349787,2005
154,evi2_median_wet,0.9757265824486966,2005
155,nir_median_dry,0.9749473155816115,2005
156,cai_stdDev,0.9747217723970502,2005
157,evi2_median,0.9729632994948898,2005
158,hallcover_stdDev,0.971159536720979,2005
159,swir2_stdDev,0.962437026863088,2005
160,savi_median_dry,0.9608686844038601,2005
161,swir2_median_wet,0.9577011122468032,2005
162,swir1_median_wet,0.951940646852693,2005
163,gcvi_median_wet,0.9440636183164528,2005
164,gcvi_stdDev,0.9358442756834013,2005
165,cloud_median,0.9320216169053595,2005
166,shade_median,0.9278279314892572,2005
167,hallcover_median,0.9156638233417785,2005
168,ndwi_median,0.9125023032746673,2005
169,green_median,0.9117475505598293,2005
170,nir_min,0.9088998081872567,2005
171,swir2_median,0.9053046643944478,2005
172,cloud_max,0.9017863076025429,2005
173,shade_min,0.9000649959145264,2005
174,nir_median_wet,0.8982538006859446,2005
175,swir2_median_dry,0.896321159180077,2005
176,green_median_dry,0.8904919941963647,2005
177,blue_median,0.8901699459226868,2005
178,ndwi_amp,0.8876604482277926,2005
179,swir1_median,0.885189085213711,2005
180,swir1_stdDev,0.8804640625082146,2005
181,soil_median,0.8717686869668113,2005
182,npv_median_wet,0.8676652830309479,2005
183,shade_median_wet,0.8652053845366933,2005
184,shade_max,0.8568000912661169,2005
185,shade_amp,0.8446156271718889,2005
186,evi2_amp,0.8317136692493576,2005
187,nir_median,0.8108127171703178,2005
188,wefi_median,0.8089648732672889,2005
189,evi2_stdDev,0.7994285000489448,2005
190,soil_median_dry,0.7983254183065702,2005
191,red_min,0.7963975415435164,2005
192,cloud_median_wet,0.7963073082222779,2005
193,soil_max,0.7891396954952656,2005
194,ndfi_amp,0.7877006203017066,2005
195,cloud_amp,0.7844727396906942,2005
196,soil_amp,0.7831409112442422,2005
197,sefi_median_dry,0.7696204677840778,2005
198,shade_median_dry,0.7646993823281157,2005
199,sefi_stdDev,0.7583425860895829,2005
200,cloud_median_dry,0.7571426333657618,2005
201,soil_median_wet,0.7471742939042662,2005
202,npv_median_dry,0.7415315947167455,2005
203,npv_max,0.7342537640487372,2005
204,cloud_min,0.7313147220555832,2005
205,soil_stdDev,0.7290225616930784,2005
206,wefi_amp,0.7190163066558031,2005
207,gvs_median_wet,0.7172791503171675,2005
208,ndfi_stdDev,0.7147396083134369,2005
209,savi_stdDev,0.7074582578031201,2005
210,gvs_max,0.7033404286897599,2005
211,wefi_median_wet,0.7025566855061337,2005
212,ndfi_median_wet,0.6952402872516458,2005
213,wefi_stdDev,0.6887222572278614,2005
214,ndfi_max,0.6709913847368624,2005
215,sefi_median,0.6695400484942471,2005
216,npv_amp,0.6661680184857752,2005
217,npv_median,0.659718089862353,2005
218,gvs_amp,0.6566580854441377,2005
219,shade_stdDev,0.6564227203569613,2005
220,gvs_stdDev,0.6353371425719498,2005
221,gv_median_wet,0.6053534566552096,2005
222,soil_min,0.5872228838741282,2005
223,gv_amp,0.5742519964567968,2005
224,gv_stdDev,0.5400604620308164,2005
225,gv_max,0.506091736808854,2005
226,cloud_stdDev,0.44738279796987757,2005
227,gvs_median,0.43681881982773574,2005
228,ndfi_median,0.40819959518538756,2005
229,gv_median,0.39816589910811173,2005
230,npv_min,0.3958634349769259,2005
231,npv_stdDev,0.3613557570420038,2005
232,gvs_median_dry,0.3164433367905528,2005
233,ndfi_median_dry,0.2914416688031012,2005
234,gvs_min,0.2619306592916682,2005
235,gv_median_dry,0.251367587430362,2005
236,ndfi_min,0.1594346223871958,2005
237,gv_min,0.15129308771328037,2005
238,pri_median,1.372034807388294,2015
239,ndvi_median_dry,1.3209199723503646,2015
240,pri_median_wet,1.2145523556576314,2015
241,slope,1.1958595993600152,2015
242,blue_median,1.152433177884163,2015
243,pri_median_dry,1.139257647469406,2015
244,cai_median_dry,1.0895657511876289,2015
245,nir_stdDev,1.068409740963268,2015
246,swir2_median_dry,1.0653603210154439,2015
247,red_median_dry,1.0643411699526832,2015
248,blue_median_wet,1.0535150307871581,2015
249,nir_median_dry,1.0451574542299886,2015
250,cloud_median,1.0388120942299832,2015
251,green_median_texture,1.0304626513216528,2015
252,ndwi_stdDev,1.019386546882799,2015
253,npv_median_wet,1.0178912744875994,2015
254,hallcover_median,1.0086786067111126,2015
255,swir2_min,0.9886479210863249,2015
256,npv_median_dry,0.9881128587887597,2015
257,green_median,0.9864490695920746,2015
258,shade_median,0.9832453762209356,2015
259,swir1_median_dry,0.9812981641196853,2015
260,red_stdDev,0.9776385578923612,2015
261,cai_stdDev,0.9747192485268491,2015
262,green_min,0.9718957104777916,2015
263,cai_median,0.968329715847783,2015
264,nir_min,0.9678629171875662,2015
265,savi_median_dry,0.9663440068375951,2015
266,blue_median_dry,0.9648347245079962,2015
267,red_median,0.9593569470936586,2015
268,ndfi_max,0.957347312704085,2015
269,evi2_amp,0.955603965444447,2015
270,soil_max,0.9555662181389479,2015
271,blue_min,0.948081949816086,2015
272,gcvi_median,0.9470370984056663,2015
273,sefi_median_dry,0.943748897913396,2015
274,shade_min,0.9328348728914335,2015
275,savi_median,0.9277003493974775,2015
276,gcvi_median_dry,0.9271217583247784,2015
277,red_median_wet,0.9250579550550678,2015
278,npv_median,0.9209804580018782,2015
279,swir1_median_wet,0.9197465171556003,2015
280,evi2_median,0.9189012487739183,2015
281,gv_max,0.9119352221349328,2015
282,cloud_min,0.9090971546305623,2015
283,npv_max,0.9063423455362855,2015
284,savi_stdDev,0.9063081254203075,2015
285,red_min,0.9010393028396406,2015
286,nir_median,0.8972899246078383,2015
287,ndwi_median_dry,0.890497809176158,2015
288,swir1_stdDev,0.8894812025496205,2015
289,cloud_median_dry,0.8775360381516581,2015
290,evi2_median_wet,0.874214402525625,2015
291,ndwi_median,0.8627859534758432,2015
292,blue_stdDev,0.8575877907384345,2015
293,swir1_min,0.8573907400930749,2015
294,evi2_stdDev,0.8489486023693383,2015
295,shade_amp,0.8482950869327287,2015
296,green_median_wet,0.8466225359938785,2015
297,cloud_median_wet,0.8459340930783328,2015
298,soil_median_dry,0.8449255167636816,2015
299,cloud_max,0.8432533259065598,2015
300,wefi_median,0.8422284627716958,2015
301,savi_median_wet,0.8358799804081802,2015
302,gcvi_stdDev,0.8338540171489971,2015
303,ndfi_median,0.831263527739106,2015
304,ndfi_stdDev,0.8298260045576263,2015
305,sefi_stdDev,0.8222457892521496,2015
306,green_median_dry,0.8143459376248913,2015
307,evi2_median_dry,0.8142566590602469,2015
308,ndvi_median,0.8110201814423854,2015
309,soil_median,0.8101452774826469,2015
310,gcvi_median_wet,0.8061484560460647,2015
311,ndvi_median_wet,0.8037722680620403,2015
312,ndwi_amp,0.8028636390132893,2015
313,ndvi_amp,0.8004253277827357,2015
314,green_stdDev,0.7945666502804434,2015
315,swir2_stdDev,0.7923152440972308,2015
316,npv_amp,0.7843712268528752,2015
317,shade_median_wet,0.7683606258816086,2015
318,swir2_median,0.7605238152465772,2015
319,npv_min,0.7552574233459179,2015
320,wefi_stdDev,0.7453087618347418,2015
321,wefi_amp,0.7382900267202164,2015
322,shade_max,0.7381534902873154,2015
323,cloud_amp,0.7379204938318994,2015
324,ndvi_stdDev,0.7354282829016316,2015
325,soil_stdDev,0.7256745102207146,2015
326,gvs_median_dry,0.7177189381937292,2015
327,gvs_amp,0.7165123356055725,2015
328,soil_amp,0.7074269308568013,2015
329,gv_stdDev,0.7024885126375897,2015
330,cloud_stdDev,0.7000883550090446,2015
331,ndfi_amp,0.6945168070092702,2015
332,shade_median_dry,0.6814954813546547,2015
333,swir1_median,0.6802427354378956,2015
334,ndwi_median_wet,0.6767555264764343,2015
335,soil_median_wet,0.667603078173014,2015
336,sefi_median,0.6673835887756072,2015
337,hallcover_stdDev,0.6658282108287317,2015
338,swir2_median_wet,0.6591363275424859,2015
339,gv_amp,0.6489577845976516,2015
340,ndfi_median_wet,0.6374714585845538,2015
341,wefi_median_wet,0.6357860579295922,2015
342,ndfi_median_dry,0.6335971056390078,2015
343,nir_median_wet,0.6266460403412101,2015
344,gvs_median_wet,0.620763238760225,2015
345,gvs_stdDev,0.6048768061458317,2015
346,shade_stdDev,0.6022573621865053,2015
347,gvs_median,0.6019648641071882,2015
348,gvs_max,0.5990890726306163,2015
349,gv_median,0.571060392169946,2015
350,soil_min,0.5687146818964913,2015
351,gv_median_dry,0.5396001562237899,2015
352,gv_median_wet,0.5288306768796923,2015
353,npv_stdDev,0.49179777248506884,2015
354,ndfi_min,0.48916330274229625,2015
355,gvs_min,0.3922308283640571,2015
356,gv_min,0.3609622955163545,2015
357,green_median_texture,1.3741511109178806,2024
358,pri_median,1.3221600551271673,2024
359,pri_median_dry,1.3200101849679233,2024
360,red_median,1.2107045803774077,2024
361,red_median_dry,1.1550399224093966,2024
362,savi_median_dry,1.1284956257041812,2024
363,cloud_median_dry,1.1200897049332028,2024
364,blue_median_dry,1.1142995114179672,2024
365,swir1_median_dry,1.0578653370371967,2024
366,ndwi_median_dry,1.052833538756695,2024
367,hallcover_stdDev,1.0374079562962057,2024
368,blue_median,1.0342410477734723,2024
369,pri_median_wet,1.032949913211977,2024
370,green_median_wet,1.026700236117546,2024
371,swir1_min,1.0206186928176484,2024
372,green_min,1.020009990622436,2024
373,sefi_stdDev,1.0163355501812656,2024
374,shade_median_dry,1.015796822315111,2024
375,blue_median_wet,1.0059512973047606,2024
376,swir1_stdDev,1.0018238332975882,2024
377,red_min,0.9978636111031434,2024
378,gcvi_median_dry,0.9861839777347473,2024
379,ndvi_stdDev,0.9858792688814535,2024
380,nir_median_wet,0.9835562577050011,2024
381,swir2_min,0.968173909812252,2024
382,nir_median,0.9636297668258264,2024
383,npv_median,0.9634406075408047,2024
384,swir2_median_dry,0.9589593203045305,2024
385,nir_median_dry,0.9523593671921965,2024
386,evi2_median_dry,0.9490557280399898,2024
387,soil_amp,0.9437601617690414,2024
388,ndvi_median_dry,0.939669336298305,2024
389,ndvi_median,0.9390045329509903,2024
390,ndwi_median,0.9327545971784281,2024
391,green_median,0.9310799263984009,2024
392,red_stdDev,0.9277251657186345,2024
393,swir2_median,0.9232044444943993,2024
394,green_stdDev,0.917297025315228,2024
395,savi_median,0.9172643199869674,2024
396,npv_median_dry,0.9163318771116186,2024
397,swir2_stdDev,0.9104997600564667,2024
398,blue_min,0.9098628898678056,2024
399,gcvi_median_wet,0.9077864173526471,2024
400,gcvi_median,0.9051609864495415,2024
401,red_median_wet,0.894356702473087,2024
402,soil_max,0.893851337655094,2024
403,nir_stdDev,0.8921936276372072,2024
404,cai_median,0.8904336733623774,2024
405,npv_median_wet,0.887070358237384,2024
406,cloud_median,0.8845128327177286,2024
407,ndwi_amp,0.884250272967816,2024
408,cai_stdDev,0.8835589337278141,2024
409,swir1_median,0.8726362770225382,2024
410,hallcover_median,0.8722666640501084,2024
411,soil_median_dry,0.8657185945874577,2024
412,blue_stdDev,0.8645839026464269,2024
413,green_median_dry,0.8630741371067755,2024
414,cloud_median_wet,0.8615754391855265,2024
415,shade_max,0.8614028208872051,2024
416,cai_median_dry,0.8607925524204274,2024
417,ndfi_median_wet,0.8468462784843407,2024
418,ndfi_amp,0.8457394325071386,2024
419,evi2_median,0.8427997288094751,2024
420,cloud_amp,0.8323268694625494,2024
421,ndwi_median_wet,0.8297721631810585,2024
422,nir_min,0.829306772968416,2024
423,cloud_max,0.8264908157961852,2024
424,ndwi_stdDev,0.821017900879647,2024
425,swir2_median_wet,0.8187687191116784,2024
426,ndfi_median,0.7987667278987023,2024
427,soil_median,0.7912095267039816,2024
428,gv_max,0.787111230330693,2024
429,evi2_stdDev,0.7837800417969709,2024
430,shade_median,0.7806688457955033,2024
431,wefi_median_wet,0.7784743196363094,2024
432,soil_median_wet,0.7761156797331985,2024
433,npv_amp,0.7757876675089996,2024
434,ndfi_stdDev,0.7753121726902515,2024
435,ndvi_amp,0.7692041867278808,2024
436,shade_median_wet,0.766417811317167,2024
437,shade_min,0.764012080041312,2024
438,evi2_median_wet,0.7606976866229107,2024
439,wefi_amp,0.7553652934040856,2024
440,swir1_median_wet,0.7532922712426038,2024
441,shade_amp,0.7499692731747966,2024
442,gvs_median_dry,0.745876712733446,2024
443,slope,0.7458258294309366,2024
444,gv_median_wet,0.7330177806303951,2024
445,ndfi_max,0.7288980615198091,2024
446,gvs_amp,0.7263229176861534,2024
447,gvs_median,0.7193314255346682,2024
448,evi2_amp,0.7181592188149375,2024
449,sefi_median_dry,0.7094939709178834,2024
450,gvs_median_wet,0.7042987936189301,2024
451,sefi_median,0.6948745518682201,2024
452,savi_median_wet,0.686650610543803,2024
453,npv_max,0.6749863929195677,2024
454,ndvi_median_wet,0.6725691527968817,2024
455,cloud_min,0.6609590544496707,2024
456,gvs_max,0.6510878854316471,2024
457,gv_median,0.6437885921008237,2024
458,savi_stdDev,0.6420019752709292,2024
459,gv_amp,0.6404861183464576,2024
460,gcvi_stdDev,0.6251030895646212,2024
461,wefi_median,0.6243466351422321,2024
462,shade_stdDev,0.6186630231725229,2024
463,gvs_stdDev,0.6133794437145206,2024
464,gv_median_dry,0.6017275927461342,2024
465,soil_min,0.595219528345026,2024
466,cloud_stdDev,0.5836295450440491,2024
467,wefi_stdDev,0.5811093239663655,2024
468,ndfi_min,0.5762787900233528,2024
469,gv_stdDev,0.5652125226764002,2024
470,ndfi_median_dry,0.5503363005578851,2024
471,npv_min,0.5428006112939654,2024
472,soil_stdDev,0.5194806047472666,2024
473,gvs_min,0.4988746399280005,2024
474,npv_stdDev,0.4095407829492408,2024
475,gv_min,0.4061487313269654,2024
